Bat Or Bowl,Ground,Opposition,Player,Start Date,team,4S,6S,Bat sum,Bb Bf,Bowl Sum,Econ,Inns,Mdns,Mins,Not Out,Overs,Runs,Runs Per Ball,Sr,Wicketball Prob,Wkts
bowl,Bengaluru,v Australia,Haris Rauf (PAK),20-10-2023,PAKISTAN,,,0,48,83,10.37,1,0,,,8,83,1.729166667,,0.0625,3
bowl,Wankhede,v South Africa,RJW Topley (ENG),21-10-2023,ENGLAND,,,0,53,88,9.96,1,0,,,8.5,88,1.660377358,,0.056603774,3
bowl,Eden Gardens,v South Africa,Kuldeep Yadav (IND),05-11-2023,INDIA,,,0,31,7,1.35,2,1,,,5.1,7,0.225806452,,0.064516129,2
bowl,Bengaluru,v England,AD Mathews (SL),26-10-2023,SRI LANKA,,,0,30,14,2.8,1,1,,,5,14,0.466666667,,0.066666667,2
bowl,Delhi,v England,Mohammad Nabi (AFG),15-10-2023,AFGHANISTAN,,,0,36,16,2.66,2,0,,,6,16,0.444444444,,0.055555556,2
bowl,Ahmedabad,v England,GD Phillips (NZ),05-10-2023,NEW ZEALAND,,,0,18,17,5.66,1,0,,,3,17,0.944444444,,0.111111111,2
bowl,Chennai,v Afghanistan,TA Boult (NZ),18-10-2023,NEW ZEALAND,,,0,42,18,2.57,2,1,,,7,18,0.428571429,,0.047619048,2
bowl,Eden Gardens,v South Africa,Mohammed Shami (IND),05-11-2023,INDIA,,,0,24,18,4.5,2,0,,,4,18,0.75,,0.083333333,2
bowl,Ahmedabad,v Pakistan,JJ Bumrah (IND),14-10-2023,INDIA,,,0,42,19,2.71,1,1,,,7,19,0.452380952,,0.047619048,2
bowl,Delhi,v Netherlands,MR Marsh (AUS),25-10-2023,AUSTRALIA,,,0,24,19,4.75,2,0,,,4,19,0.791666667,,0.083333333,2
bowl,Pune,v Netherlands,DJ Willey (ENG),08-11-2023,ENGLAND,,,0,42,19,2.71,2,2,,,7,19,0.452380952,,0.047619048,2
bowl,Bengaluru,v Sri Lanka,R Ravindra (NZ),09-11-2023,NEW ZEALAND,,,0,46,21,2.73,1,0,,,7.4,21,0.456521739,,0.043478261,2
bowl,Bengaluru,v Sri Lanka,MJ Santner (NZ),09-11-2023,NEW ZEALAND,,,0,60,22,2.2,1,2,,,10,22,0.366666667,,0.033333333,2
bowl,Lucknow,v England,Kuldeep Yadav (IND),29-10-2023,INDIA,,,0,48,24,3,2,0,,,8,24,0.5,,0.041666667,2
bowl,Eden Gardens,v Bangladesh,BFW de Leede (NED),28-10-2023,NETHERLAND,,,0,42,25,3.57,2,0,,,7,25,0.595238095,,0.047619048,2
bowl,Ahmedabad,v Afghanistan,KA Maharaj (SA),10-11-2023,SOUTH AFRICA,,,0,60,25,2.5,1,1,,,10,25,0.416666667,,0.033333333,2
bowl,Wankhede,v England,L Ngidi (SA),21-10-2023,SOUTH AFRICA,,,0,30,26,5.2,2,1,,,5,26,0.866666667,,0.066666667,2
bowl,Dharamsala,v Netherlands,M Jansen (SA),17-10-2023,SOUTH AFRICA,,,0,48,27,3.37,1,1,,,8,27,0.5625,,0.041666667,2
